[solve] bridge: http://127.0.0.1:6070
[solve] world_title = 'Husky Maze (Unknown)'  map_available = False
[solve] max_linear = 0.99 m/s, max_angular = 3.47 rad/s, lidar = 16 rays @ 8.0 m
[solve] strategy: right-hand-rule wall-follow on lidar
[solve] start cell=(0, 10) heading=E goal=(10, 0)
[solve] step   1: at (0, 10) heading E -> turn S -> cell (0, 9)
[solve] step   2: at (0, 9) heading S -> turn S -> cell (0, 8)
[solve] step   3: at (0, 8) heading S -> turn S -> cell (0, 7)
[solve] step   4: at (0, 7) heading S -> turn S -> cell (0, 6)
[solve] step   5: at (0, 6) heading S -> turn S -> cell (0, 5)
[solve] step   6: at (0, 5) heading S -> turn S -> cell (0, 4)
[solve] step   7: at (0, 4) heading S -> turn E -> cell (1, 4)
[solve] step   8: at (1, 4) heading E -> turn W -> cell (0, 4)
[solve] step   9: at (0, 4) heading W -> turn N -> cell (0, 5)
[solve] step  10: at (0, 5) heading N -> turn N -> cell (0, 6)
[solve] step  11: at (0, 6) heading N -> turn N -> cell (0, 7)
[solve] step  12: at (0, 7) heading N -> turn N -> cell (0, 8)
[solve] step  13: at (0, 8) heading N -> turn N -> cell (0, 9)
[solve] step  14: at (0, 9) heading N -> turn E -> cell (1, 9)
[solve] step  15: at (1, 9) heading E -> turn S -> cell (1, 8)
[solve] step  16: at (1, 8) heading S -> turn S -> cell (1, 7)
[solve] step  17: at (1, 7) heading S -> turn S -> cell (1, 6)
[solve] step  18: at (1, 6) heading S -> turn S -> cell (1, 5)
[solve] step  19: at (1, 5) heading S -> turn E -> cell (2, 5)
[solve] step  20: at (2, 5) heading E -> turn S -> cell (2, 4)
[solve] step  21: at (2, 4) heading S -> turn E -> cell (3, 4)
[solve] step  22: at (3, 4) heading E -> turn S -> cell (3, 3)
[solve] step  23: at (3, 3) heading S -> turn N -> cell (3, 4)
[solve] step  24: at (3, 4) heading N -> turn E -> cell (4, 4)
[solve] step  25: at (4, 4) heading E -> turn S -> cell (4, 3)
[solve] step  26: at (4, 3) heading S -> turn S -> cell (4, 2)
[solve] step  27: at (4, 2) heading S -> turn S -> cell (4, 1)
[solve] step  28: at (4, 1) heading S -> turn E -> cell (5, 1)
[solve] step  29: at (5, 1) heading E -> turn N -> cell (5, 2)
[solve] step  30: at (5, 2) heading N -> turn N -> cell (5, 3)
[solve] step  31: at (5, 3) heading N -> turn E -> cell (6, 3)
[solve] step  32: at (6, 3) heading E -> turn S -> cell (6, 2)
[solve] step  33: at (6, 2) heading S -> turn S -> cell (6, 1)
[solve] step  34: at (6, 1) heading S -> turn S -> cell (6, 0)
[solve] step  35: at (6, 0) heading S -> turn W -> cell (5, 0)
[solve] step  36: at (5, 0) heading W -> turn W -> cell (4, 0)
[solve] step  37: at (4, 0) heading W -> turn W -> cell (3, 0)
[solve] step  38: at (3, 0) heading W -> turn W -> cell (2, 0)
[solve] step  39: at (2, 0) heading W -> turn W -> cell (1, 0)
[solve] step  40: at (1, 0) heading W -> turn N -> cell (1, 1)
[solve] step  41: at (1, 1) heading N -> turn E -> cell (2, 1)
[solve] step  42: at (2, 1) heading E -> turn E -> cell (3, 1)
[solve] step  43: at (3, 1) heading E -> turn N -> cell (3, 2)
[solve] step  44: at (3, 2) heading N -> turn W -> cell (2, 2)
[solve] step  45: at (2, 2) heading W -> turn N -> cell (2, 3)
[solve] step  46: at (2, 3) heading N -> turn W -> cell (1, 3)
[solve] step  47: at (1, 3) heading W -> turn W -> cell (0, 3)
[solve] step  48: at (0, 3) heading W -> turn S -> cell (0, 2)
[solve] step  49: at (0, 2) heading S -> turn S -> cell (0, 1)
[solve] step  50: at (0, 1) heading S -> turn S -> cell (0, 0)
[solve] step  51: at (0, 0) heading S -> turn N -> cell (0, 1)
[solve] step  52: at (0, 1) heading N -> turn N -> cell (0, 2)
[solve] step  53: at (0, 2) heading N -> turn N -> cell (0, 3)
[solve] step  54: at (0, 3) heading N -> turn E -> cell (1, 3)
[solve] step  55: at (1, 3) heading E -> turn E -> cell (2, 3)
[solve] step  56: at (2, 3) heading E -> turn S -> cell (2, 2)
[solve] step  57: at (2, 2) heading S -> turn E -> cell (3, 2)
[solve] step  58: at (3, 2) heading E -> turn S -> cell (3, 1)
[solve] step  59: at (3, 1) heading S -> turn W -> cell (2, 1)
[solve] step  60: at (2, 1) heading W -> turn W -> cell (1, 1)
[solve] step  61: at (1, 1) heading W -> turn N -> cell (1, 2)
[solve] step  62: at (1, 2) heading N -> turn S -> cell (1, 1)
